feature,importance
labor_force,0.9296090428146402
median_household_income,0.02890321855012411
median_home_value,0.02654347366504754
zip code tabulation area,0.013227299011870386
year,0.0011105317964262315
unique_businesses,0.00022793485462306896
total_licenses,0.0001931149763785003
active_licenses,0.00018538433089006998
commercial_permits,0.0
issue_date_year,0.0
total_permits,0.0
permit_id,0.0
retail_construction_cost,0.0
commercial_construction_cost,0.0
residential_construction_cost,0.0
retail_permits,0.0
latitude,0.0
residential_permits,0.0
longitude,0.0
ward,0.0
census_tract,0.0
community_area,0.0
ycoordinate,0.0
xcoordinate,0.0
total_cost,0.0
total_fee,0.0
street_number,0.0
state,0.0
issue_date_month,0.0
