scenario,gdp_prediction,year,zip_code,total_permits_adjustment,residential_permits_adjustment,commercial_permits_adjustment,retail_permits_adjustment,total_construction_cost_adjustment,residential_construction_cost_adjustment,commercial_construction_cost_adjustment,retail_construction_cost_adjustment,gdp_impact,gdp_impact_pct
optimistic,894856.8916456371,2023,60605,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60606,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60607,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60608,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60609,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60610,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60611,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60612,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60613,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60614,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60615,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60616,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60617,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60618,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60619,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60620,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60621,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
optimistic,674570.4355439352,2017,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-60572.532141263946,-8.239558127311387
optimistic,707912.1877856536,2018,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-27230.77989954548,-3.7041475055238693
optimistic,728632.1004720104,2019,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-6510.867213188671,-0.8856600007601134
optimistic,700009.3018125885,2020,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-35133.66587261064,-4.77916098187523
optimistic,770532.2437087896,2021,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,35389.27602359047,4.813931109893277
optimistic,845183.1179048852,2022,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,110040.1502196861,14.968537421527394
optimistic,894856.8916456371,2023,60622,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,159713.923960438,21.725559650436633
optimistic,640545.6302458871,2015,60623,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-94597.33743931202,-12.867883064593254
optimistic,654044.8000474063,2016,60623,1.2,1.25,1.15,1.2,1.3,1.35,1.25,1.3,-81098.16763779277,-11.031618501793295
