year,total_population,median_household_income,median_home_value,labor_force,state,zip_code,residential_permits,commercial_permits,retail_permits,residential_construction_cost,commercial_construction_cost,retail_construction_cost,reported_cost,total_licenses,unique_businesses,active_licenses,unemployment_rate,real_gdp,per_capita_income,personal_income,unemployment_rate_pct_change,real_gdp_pct_change,per_capita_income_pct_change,personal_income_pct_change,total_population_zoning,median_household_income_zoning,total_housing_units,retail_space,retail_demand,retail_gap,retail_supply,retail_permits_zoning,retail_construction_cost_zoning,retail_business_count,retail_leakage,residential_permits_zoning,commercial_permits_zoning,reported_cost_zoning,total_licenses_zoning,unique_businesses_zoning,active_licenses_zoning,median_home_value_zoning,labor_force_zoning,state_zoning,total_population_property,median_household_income_property,total_housing_units_property,retail_space_property,retail_demand_property,retail_gap_property,retail_supply_property,retail_permits_property,retail_construction_cost_property,retail_business_count_property,retail_leakage_property,residential_permits_property,commercial_permits_property,reported_cost_property,total_licenses_property,unique_businesses_property,active_licenses_property,median_home_value_property,labor_force_property,state_property,total_population_multifamily_permits,median_household_income_multifamily_permits,total_housing_units_multifamily_permits,retail_space_multifamily_permits,retail_demand_multifamily_permits,retail_gap_multifamily_permits,retail_supply_multifamily_permits,retail_permits_multifamily_permits,retail_construction_cost_multifamily_permits,retail_business_count_multifamily_permits,retail_leakage_multifamily_permits,residential_permits_multifamily_permits,commercial_permits_multifamily_permits,reported_cost_multifamily_permits,total_licenses_multifamily_permits,unique_businesses_multifamily_permits,active_licenses_multifamily_permits,median_home_value_multifamily_permits,labor_force_multifamily_permits,state_multifamily_permits,retail_business_count_bizcount,vacancy_rate
2018,1244.0,157125.0,-666666666.0,931.0,17.0,60602,2.0,4.0,3.0,12250000.0,19642336.0,12115000.0,43432492.0,,,,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741,,,,60575.0,58639050.0,40466550.0,18172500.0,,,0,0.6900955932949119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2019,1145.0,191528.0,-666666666.0,956.0,17.0,60602,1.0,2.0,5.0,170000000.0,4487583.0,171385000.0,183029075.0,,,,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097,,,,856925.0,65789868.0,-191287632.0,257077500.0,,,0,-2.907554579680871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2020,1596.0,226276.0,-666666666.0,1434.0,17.0,60602,6.0,3.0,3.0,985075.0,3024371.0,1868000.0,15065431.0,,,,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393,,,,9340.0,108340948.8,105538948.8,2802000.0,,,0,0.9741372026825004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2021,1142.0,235666.0,-666666666.0,939.0,17.0,60602,7.0,1.0,1.0,4048951.0,35000.0,10000.0,15695982.0,,,,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274,,,,50.0,80739171.6,80724171.6,15000.0,,,0,0.9998142165729131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2022,938.0,167617.0,-666666666.0,712.0,17.0,60602,8.0,5.0,2.0,7637400.0,8420000.0,6265000.0,34851280.0,,,,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378,,,,31325.0,47167423.8,37769923.8,9397500.0,,,0,0.800762915527305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2023,1127.0,123047.0,383300.0,848.0,17.0,60602,21.0,6.0,6.0,34758500.0,34908712.0,5450460.0,115386128.0,90.0,73.0,90.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116,,,,27252.3,41602190.699999996,33426500.699999996,8175690.0,,,0,0.8034793393704625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2024,1127.0,123047.0,383300.0,848.0,17.0,60602,20.0,10.0,8.0,33673166.0,35515185.0,15660881.0,144831339.0,311.0,253.0,311.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0,,,,78304.405,41602190.699999996,18110869.199999996,23491321.5,,,0,0.43533450751669184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2025,1127.0,123047.0,383300.0,848.0,17.0,60602,34.0,11.0,14.0,46222187.0,54608837.0,27552640.0,147150417.0,93.0,62.0,93.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0,,,,137763.2,41602190.699999996,273230.69999999553,41328960.0,,,0,0.0065676998110581605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.1
2015,1076.0,122031.0,603300.0,683.0,17.0,60603,1.0,0.0,0.0,500.0,0.0,0.0,346455.0,,,,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0,,,,0.0,39391606.8,39391606.8,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2016,1029.0,140500.0,613400.0,642.0,17.0,60603,0.0,8.0,1.0,0.0,2611750.0,250000.0,4278495.0,,,,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983,,,,1250.0,43372350.0,42997350.0,375000.0,,,0,0.991353938626798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2017,1197.0,140114.0,678900.0,747.0,17.0,60603,4.0,6.0,1.0,23827950.0,9770830.0,50000.0,55017432.0,,,,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625,,,,250.0,50314937.4,50239937.4,75000.0,,,0,0.9985093889831611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2018,1174.0,151765.0,676900.0,819.0,17.0,60603,3.0,4.0,2.0,1835800.0,4230630.0,50001.0,10147339.0,,,,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741,,,,250.005,53451633.0,53376631.5,75001.5,,,0,0.9985968342632301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2019,1052.0,146250.0,672700.0,695.0,17.0,60603,1.0,4.0,0.0,200000.0,1405071.0,0.0,5238646.0,,,,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097,,,,0.0,46156500.0,46156500.0,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2020,1186.0,140125.0,499400.0,774.0,17.0,60603,2.0,1.0,2.0,26080000.0,988650.0,26988650.0,27192454.0,,,,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393,,,,134943.25,49856475.0,9373500.0,40482975.0,,,0,0.18800968179158273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2021,1275.0,114394.0,562500.0,824.0,17.0,60603,1.0,4.0,2.0,150000.0,2611950.0,12055000.0,17967440.0,,,,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274,,,,60275.0,43755705.0,25673205.0,18082500.0,,,0,0.5867396034414255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2022,1110.0,124888.0,757500.0,748.0,17.0,60603,1.0,1.0,2.0,500000.0,1200000.0,3100000.0,6550020.0,,,,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378,,,,15500.0,41587704.0,36937704.0,4650000.0,,,0,0.8881881048302162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2023,1126.0,128107.0,608100.0,772.0,17.0,60603,2.0,4.0,0.0,75000.0,1186375.0,0.0,3327800.0,105.0,81.0,105.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116,,,,0.0,43274544.6,43274544.6,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2024,1126.0,128107.0,608100.0,772.0,17.0,60603,8.0,3.0,2.0,3581800.0,27650000.0,27625000.0,106525108.26,374.0,273.0,374.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0,,,,138125.0,43274544.6,1837044.6000000015,41437500.0,,,0,0.04245092853039524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2025,1126.0,128107.0,608100.0,772.0,17.0,60603,17.0,3.0,9.0,1888721.0,56494500.0,64754500.0,73757973.0,96.0,67.0,96.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0,,,,323772.5,43274544.6,-53857205.4,97131750.0,,,0,-1.244547017139494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.1
2015,545.0,151731.0,572000.0,387.0,17.0,60604,0.0,0.0,1.0,0.0,0.0,500000.0,530203.0,,,,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0,,,,2500.0,24808018.5,24058018.5,750000.0,,,0,0.9697678393782236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2016,619.0,150125.0,460400.0,432.0,17.0,60604,1.0,1.0,2.0,300000.0,1500000.0,1800000.0,2112802.0,,,,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983,,,,9000.0,27878212.5,25178212.5,2700000.0,,,0,0.9031501750695099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2017,668.0,114565.0,506800.0,482.0,17.0,60604,0.0,1.0,1.0,0.0,125000.0,125000.0,1142902.0,,,,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625,,,,625.0,22958826.0,22771326.0,187500.0,,,0,0.9918332061055735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2018,782.0,116250.0,480000.0,547.0,17.0,60604,1.0,1.0,0.0,80000.0,224000.0,0.0,1543023.0,,,,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741,,,,0.0,27272250.0,27272250.0,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2019,823.0,91750.0,485900.0,599.0,17.0,60604,1.0,1.0,0.0,60000.0,1.0,0.0,1162849.0,,,,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097,,,,0.0,22653075.0,22653075.0,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2020,729.0,58558.0,485900.0,525.0,17.0,60604,1.0,1.0,2.0,2000.0,200000.0,400000.0,1037551.0,,,,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393,,,,2000.0,12806634.6,12206634.6,600000.0,,,0,0.9531492840437565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2021,687.0,67938.0,575000.0,446.0,17.0,60604,3.0,0.0,3.0,820000.0,0.0,50602000.0,52656059.0,,,,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274,,,,253010.0,14002021.799999999,-61900978.2,75903000.0,,,0,-4.420860007516915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2022,737.0,76667.0,601300.0,488.0,17.0,60604,5.0,1.0,1.0,590000.0,150000.0,570000.0,2013135.0,,,,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378,,,,2850.0,16951073.7,16096073.7,855000.0,,,0,0.9495607172069578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2023,653.0,77806.0,577700.0,440.0,17.0,60604,3.0,0.0,0.0,800000.0,0.0,0.0,2944778.0,51.0,48.0,51.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116,,,,0.0,15242195.399999999,15242195.399999999,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2024,653.0,77806.0,577700.0,440.0,17.0,60604,4.0,1.0,2.0,236518.0,1000000.0,420000.0,3432319.0,219.0,174.0,219.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0,,,,2100.0,15242195.399999999,14612195.399999999,630000.0,,,0,0.9586673714995151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2025,653.0,77806.0,577700.0,440.0,17.0,60604,15.0,7.0,15.0,784175.0,1741069.0,2555104.0,9786381.0,50.0,40.0,50.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0,,,,12775.52,15242195.399999999,11409539.399999999,3832656.0,,,0,0.7485496085426119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.1
2015,27238.0,87668.0,352000.0,18608.0,17.0,60605,0.0,1.0,0.0,0.0,456000.0,0.0,717250.0,,,,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0,,,,0.0,716370295.1999999,716370295.1999999,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2016,26623.0,99725.0,378100.0,18628.0,17.0,60605,5.0,3.0,4.0,10523807.0,11032300.0,1048807.0,12403108.0,,,,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983,,,,5244.035,796493602.5,794920392.0,1573210.5,,,0,0.9980248297097905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2017,26188.0,107811.0,387900.0,17866.0,17.0,60605,12.0,3.0,1.0,47400000.0,38900000.0,100000.0,63871452.0,,,,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625,,,,500.0,847006340.4,846856340.4,150000.0,,,0,0.9998229056940363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2018,27519.0,111164.0,395700.0,18837.0,17.0,60605,0.0,7.0,3.0,0.0,4603100.0,2303000.0,4722100.0,,,,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741,,,,11515.0,917736634.8,914282134.8,3454500.0,,,0,0.996235848206329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2019,29060.0,111438.0,398900.0,19330.0,17.0,60605,3.0,9.0,4.0,775000.0,7025300.0,275000.0,11593316.0,,,,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097,,,,1375.0,971516484.0,971103984.0,412500.0,,,0,0.99957540607206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2020,30950.0,109194.0,404400.0,20697.0,17.0,60605,0.0,4.0,4.0,0.0,37748277.0,12190000.0,49417080.0,,,,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.928431907769226,6.629422127700102,5.847473968376393,,,,60950.0,1013866290.0,995581290.0,18285000.0,,,0,0.9819650774659842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2021,32077.0,112162.0,414400.0,21532.0,17.0,60605,3.0,6.0,0.0,470000.0,15999056.0,0.0,20933656.0,,,,6.2250000000000005,770533.358,72316.0,71206.0,-36.5874363327674,10.074944806626362,7.638723505596578,8.099163516570274,,,,0.0,1079346142.2,1079346142.2,0.0,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2022,34314.0,116462.0,480000.0,23214.0,17.0,60605,5.0,11.0,12.0,865000.0,7904826.0,7380500.0,22796204.0,,,,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809277,2.964637811420378,,,,36902.5,1198883120.3999999,1187812370.3999999,11070750.0,,,0,0.9907657804070956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2023,34256.0,118403.0,495900.0,23504.0,17.0,60605,9.0,11.0,27.0,3757230.0,9786752.0,18269198.0,28881041.0,194.0,132.0,194.0,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116,,,,91345.99,1216803950.3999999,1189400153.3999999,27403797.0,,,0,0.9774788724255936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2024,34256.0,118403.0,495900.0,23504.0,17.0,60605,5.0,12.0,15.0,367000.0,14518745.0,19815531.0,56464121.0,458.0,299.0,458.0,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0,,,,99077.655,1216803950.3999999,1187080653.8999999,29723296.5,,,0,0.9755726495708458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2025,34256.0,118403.0,495900.0,23504.0,17.0,60605,42.0,11.0,25.0,39624716.0,27627244.0,35970844.0,106851995.0,129.0,99.0,129.0,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0,,,,179854.22,1216803950.3999999,1162847684.3999999,53956266.0,,,0,0.9556573875501777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0.1
2015,3098.0,106661.0,364600.0,2460.0,17.0,60606,2.0,16.0,6.0,831200.0,496086983.0,35420000.0,530943727.0,,,,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0,,,,177100.0,99130733.39999999,46000733.39999999,53130000.0,,,0,0.4640410881899114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,0.1
2016,3011.0,119973.0,393500.0,2416.0,17.0,60606,0.0,10.0,10.0,0.0,268450500.0,263008000.0,288819598.0,,,,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983,,,,1315040.0,108371610.89999999,-286140389.1,394512000.0,,,0,-2.64036297627832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,0.1
