zip_code,total_population,retail_demand
60601,16292.0,283.1753032276063
60602,1127.0,19.588667243893465
60603,1126.0,19.57128599522985
60604,653.0,11.349955377340224
60605,34256.0,595.412054220776
60606,3527.0,61.3036640365681
60607,30197.0,524.861565895165
60608,81459.0,1415.859134889368
60609,64268.0,1117.0580891131724
60610,45282.0,787.0577019857888
60611,36036.0,626.3506768420096
60612,34699.0,603.1119473787572
60613,51334.0,892.2490188979833
60614,70444.0,1224.4046808596552
60615,42752.0,743.0831428668442
60616,54456.0,946.5132772257875
60617,79284.0,1378.0549190460067
60618,91896.0,1597.267227191512
60619,59892.0,1040.9977449611956
60620,66511.0,1156.0442298656596
60621,27318.0,474.8209509926191
60622,53696.0,933.3035282414406
60623,77061.0,1339.4164032667918
60624,35711.0,620.701771026335
60625,78467.0,1363.8544388878338
60626,50027.0,869.5317268946392
60628,59212.0,1029.1784958699377
60629,109292.0,1899.6314289437487
60630,54242.0,942.7936900117741
60631,30308.0,526.7908844968263
60632,87831.0,1526.6124513739192
60633,12485.0,217.0048895652262
60634,74418.0,1293.4777630488588
60636,31007.0,538.9403773126927
60637,52418.0,911.0902924493413
60638,58250.0,1012.4577346555407
60639,84505.0,1468.8024183187376
60640,66884.0,1162.5274356171876
60641,67400.0,1171.4961599276128
60642,21124.0,367.16149677019126
60643,47802.0,830.8584486180971
60644,48317.0,839.8097916798586
60645,46856.0,814.4157873823178
60646,28499.0,495.34820566434774
60647,85589.0,1487.6436918700956
60649,48720.0,846.8144348912952
60651,63892.0,1110.5227396156533
60652,41431.0,720.1225133822096
60653,34608.0,601.5302537503683
60654,24303.0,422.41648627182155
60655,27794.0,483.0944253564995
60656,28726.0,499.2937491109882
60657,71268.0,1238.7268297584733
60659,42008.0,730.1514938611151
60660,42750.0,743.048380369517
60661,11516.0,200.16245961018382
60664,46868.51612903226,814.6333333333334
60666,46868.51612903226,814.6333333333334
60668,46868.51612903226,814.6333333333334
60669,46868.51612903226,814.6333333333334
60670,46868.51612903226,814.6333333333334
60673,46868.51612903226,814.6333333333334
60674,46868.51612903226,814.6333333333334
60675,46868.51612903226,814.6333333333334
60677,46868.51612903226,814.6333333333334
60678,46868.51612903226,814.6333333333334
60680,46868.51612903226,814.6333333333334
60681,46868.51612903226,814.6333333333334
60682,46868.51612903226,814.6333333333334
60684,46868.51612903226,814.6333333333334
60685,46868.51612903226,814.6333333333334
60686,46868.51612903226,814.6333333333334
60687,46868.51612903226,814.6333333333334
60688,46868.51612903226,814.6333333333334
60689,46868.51612903226,814.6333333333334
60690,46868.51612903226,814.6333333333334
60691,46868.51612903226,814.6333333333334
60693,46868.51612903226,814.6333333333334
60694,46868.51612903226,814.6333333333334
60695,46868.51612903226,814.6333333333334
60696,46868.51612903226,814.6333333333334
60697,46868.51612903226,814.6333333333334
60699,46868.51612903226,814.6333333333334
60701,46868.51612903226,814.6333333333334
60706,24028.0,417.63664288932756
60707,40897.0,710.8409265958395
60803,22089.0,383.9344017305792
60804,83223.0,1446.519657531984
60805,19498.0,338.8995864431542
60827,24887.0,432.56713549137237
