year,unemployment_rate,real_gdp,per_capita_income,personal_income,unemployment_rate_pct_change,real_gdp_pct_change,per_capita_income_pct_change,personal_income_pct_change
2015,6.008333333333333,640542.188,54741.0,54367.0,0.0,0.0,0.0,0.0
2016,5.866666666666667,654041.831,55262.0,55036.0,-2.3578363384188505,2.107533781990334,0.9517546263312582,1.2305258704728983
2017,4.9,674568.186,57233.0,56973.0,-16.47727272727273,3.138385654724285,3.5666461583004683,3.5195144996002625
2018,4.141666666666667,707911.107,61322.0,60423.0,-15.476190476190489,4.942854064570423,7.144479583457097,6.055499973671741
2019,3.858333333333333,728631.746,63007.0,62232.0,-6.841046277666008,2.9270114277215376,2.747790352565138,2.9938930539695097
2020,9.816666666666666,700007.944,67184.0,65871.0,154.42764578833695,-3.9284319077692254,6.629422127700102,5.847473968376393
2021,6.2250000000000005,770533.358,72316.0,71206.0,-36.587436332767396,10.074944806626362,7.6387235055965785,8.099163516570274
2022,4.608333333333333,845186.849,73674.0,73317.0,-25.970548862115127,9.68854757875388,1.8778693511809275,2.9646378114203786
2023,4.383333333333334,894862.364,77937.0,77429.0,-4.88245931283905,5.877459529661921,5.7863018161087965,5.608521898059116
2024,5.141666666666667,894862.364,77937.0,77429.0,17.30038022813687,0.0,0.0,0.0
2025,5.233333333333333,894862.364,77937.0,77429.0,1.7828200972447306,0.0,0.0,0.0
