zip_code,first_half_permits,second_half_permits,unit_difference,first_half_permits_adj,growth_pct
60659,0.0,14.0,14.0,1.0,1400.0
06023,0.0,10.0,10.0,1.0,1000.0
60615,2.0,11.0,9.0,2.0,450.0
60302,2.0,10.0,8.0,2.0,400.0
60605,7.0,18.0,11.0,7.0,157.1
60655,6.0,15.0,9.0,6.0,150.0
60712,4.0,10.0,6.0,4.0,150.0
60641,6.0,12.0,6.0,6.0,100.0
60634,8.0,15.0,7.0,8.0,87.5
60661,10.0,18.0,8.0,10.0,80.0
60525,12.0,20.0,8.0,12.0,66.7
60610,21.0,35.0,14.0,21.0,66.7
