zip_code,year,total_population_x,median_household_income_x,median_home_value_x,labor_force_x,total_housing_units,occupied_housing_units,vacant_housing_units,housing_units,retail_deficit,other_permit_id,other_reported_cost,total_permits_x,total_construction_cost_x,total_population_y,median_household_income_y,median_home_value_y,labor_force_y,commercial_permits,Other_x,residential_permits,retail_permits,commercial_construction_cost,Other_y,residential_construction_cost,retail_construction_cost,total_permits_y,total_construction_cost_y,total_licenses,unique_businesses,active_licenses,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio
60603,2017,1197.0,140114.0,678900.0,747.0,867.0,563.0,262.0,478.8,50314937.4,8.0,47855161.0,8.0,47855161.0,1197.0,140114.0,678900.0,747.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60603,2018,1174.0,151765.0,676900.0,819.0,847.0,564.0,239.0,469.6,53451633.0,8.0,4802631.0,8.0,4802631.0,1174.0,151765.0,676900.0,819.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60603,2019,1052.0,146250.0,672700.0,695.0,810.0,552.0,236.0,420.8,46156500.0,5.0,700000.0,5.0,700000.0,1052.0,146250.0,672700.0,695.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60603,2020,1186.0,140125.0,499400.0,774.0,840.0,644.0,189.0,474.4,49856475.0,5.0,27023652.0,5.0,27023652.0,1186.0,140125.0,499400.0,774.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60603,2021,1275.0,114394.0,562500.0,824.0,956.0,734.0,248.0,510.0,43755705.0,9.0,13215827.0,9.0,13215827.0,1275.0,114394.0,562500.0,824.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60603,2022,1110.0,124888.0,757500.0,748.0,940.0,674.0,216.0,444.0,41587704.0,5.0,6500000.0,5.0,6500000.0,1110.0,124888.0,757500.0,748.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60603,2023,1126.0,128107.0,608100.0,772.0,984.0,719.0,258.0,450.4,43274544.6,8.0,1572924.0,8.0,1572924.0,1126.0,128107.0,608100.0,772.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,105.0,81.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
60603,2015,1076.0,122031.0,603300.0,683.0,822.0,491.0,257.0,430.4,39391606.8,2.0,245955.0,2.0,245955.0,1076.0,122031.0,603300.0,683.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60604,2016,619.0,150125.0,460400.0,432.0,540.0,381.0,232.0,247.6,27878212.5,3.0,1800001.0,3.0,1800001.0,619.0,150125.0,460400.0,432.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
60604,2017,668.0,114565.0,506800.0,482.0,516.0,400.0,246.0,267.2,22958826.0,4.0,1000002.0,4.0,1000002.0,668.0,114565.0,506800.0,482.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
