permit_,permit_type,reported_cost,issue_date,street_number,street_direction,street_name,contact_1_city,contact_1_state,work_description,contact_1_zipcode,community_area,ward,address,zip_code
100178627,PERMIT - RENOVATION/ALTERATION,20500,2007-06-13T00:00:00.000,6506,S,HONORE ST,CHICAGO,IL,"INTERIOR REHABILITATION TO ERECT PARTITIONS IN BASEMENT AND REPLACE PLUMBING FIXTURES AND FURNANCE. WORK TO INCLUDE ELECT, PLUMB, AND MECH TO ADDRESS VIOLATIONS. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS.",,,,"6506 S HONORE ST, CHICAGO, IL",
100178661,PERMIT - RENOVATION/ALTERATION,80000,2007-10-09T00:00:00.000,1420,W,FULLERTON AVE,CHICAGO,IL,INTERIOR ALTERATIONS & TENANT BUILD-OUT OF GROUND FLOOR COMMERCIAL SPACE AS PER PLANS,,,,"1420 W FULLERTON AVE, CHICAGO, IL",
100178897,PERMIT - RENOVATION/ALTERATION,12600,2007-05-29T00:00:00.000,4322,S,HONORE ST,CHICAGO,IL,REPLACE EXISTING REAR PORCH AND SOUTH STAIRS SAME SIZE MAS PER PLAN,,,,"4322 S HONORE ST, CHICAGO, IL",
100179010,PERMIT - EASY PERMIT PROCESS,2900,2007-05-17T00:00:00.000,2446,W,LELAND AVE,CHICAGO,IL,REBUILD PARAPET WALL 3 FT. HIGH X 20 FT. LONG EAST.  3 FT. TALL X 10 FT. LONG SOUTH. NON STRUCTURAL.  SUBJECT TO FIELD INSPECTION.,,,,"2446 W LELAND AVE, CHICAGO, IL",
100179318,PERMIT - WRECKING/DEMOLITION,10000,2007-07-18T00:00:00.000,3424,N,GREENVIEW AVE,CHICAGO,IL,WRECK AND REMOVE A TWO STORY FRAME BUILDING,,,,"3424 N GREENVIEW AVE, CHICAGO, IL",
100179349,PERMIT - WRECKING/DEMOLITION,150000,2007-06-08T00:00:00.000,1,E,OAK ST,CHGO,IL,WRECK & REMOVE THREE STORY MASONRY RESIDENTIAL/COMMERCIAL BUILDING.,,,,"1 E OAK ST, CHICAGO, IL",
100179350,PERMIT - WRECKING/DEMOLITION,50000,2007-06-21T00:00:00.000,946,N,RUSH ST,CHGO,IL,WRECK & REMOVE ONE STORY MASONRY COMMERCIAL BUILDING.,,,,"946 N RUSH ST, CHICAGO, IL",
100179351,PERMIT - WRECKING/DEMOLITION,50000,2007-06-21T00:00:00.000,940,N,RUSH ST,CHGO,IL,WRECK & REMOVE ONE STORY MASONRY COMMERCIAL BUILDING.,,,,"940 N RUSH ST, CHICAGO, IL",
100179364,PERMIT - EASY PERMIT PROCESS,0,2007-05-18T00:00:00.000,5003,N,MELVINA AVE,CHICAGO,IL,REPLACE 1 FURNACE,,,,"5003 N MELVINA AVE, CHICAGO, IL",
100179405,PERMIT - EASY PERMIT PROCESS,500,2007-05-22T00:00:00.000,5752,S,TRUMBULL AVE,,,REPAIR FRONT STAIR SYSTEM PER VIOLATIONS ONLY; NO OTHER WORK TO BE PERFORMED UNDER THIS PERMIT; SUBJECT TO FIELD INSPECTION,,,,"5752 S TRUMBULL AVE, CHICAGO, IL",
100179572,PERMIT - EASY PERMIT PROCESS,6200,2007-05-21T00:00:00.000,19,S,WABASH AVE,CHICAGO,IL,"ERECT AN EIGHT FOOT HIGH CYCLONE FENCE APROX. FIFTY LINEAR FEET LONG, LOCATED IN REAR OF BUILDING FOR SECURITY PUPOSES DUE TO VANDALISM.",,,,"19 S WABASH AVE, CHICAGO, IL",
100179639,PERMIT - EASY PERMIT PROCESS,4000,2007-05-21T00:00:00.000,5311,S,ARTESIAN AVE,CHICAGO,IL,"REMOVE / REPLACE TWENTY THREE WINDOWS, REPLACE EXISTING ROOF COVERING AND SHEATING AS NEEDED. ALL WORK SAME AS EXISTING.",,,,"5311 S ARTESIAN AVE, CHICAGO, IL",
100179686,PERMIT - EASY PERMIT PROCESS,10,2007-05-21T00:00:00.000,5414,S,ASHLAND AVE,,,REVISION TO PERMIT #100179077 TO CORRECT ADDRESS TO 5414 S. ASHLAND.,,,,"5414 S ASHLAND AVE, CHICAGO, IL",
