total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,zip_code,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,retail_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,retail_construction_cost,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio,new_construction_permits,renovation_permits,addition_permits,other_permits,total_permits_change,residential_permits_change,commercial_permits_change,retail_permits_change,total_construction_cost_change,residential_construction_cost_change,commercial_construction_cost_change,retail_construction_cost_change,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,estimated_retail_value,retail_sales,per_capita_retail,income_factor,retail_potential,retail_gap,projected_population,projected_income,projected_retail_demand,leakage_surplus_factor,market_status,opportunity_score,is_high_opportunity,market_saturation
11905.0,102254.0,434900.0,8061.0,17.0,60601,2015,60601,,,,,9.0,2.0,1.0,1.0,4824314.0,342028.0,366697.0,225000.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.070896711947025,0.0760101850750179,0.0466387552717339,0.0,7.0,0.0,2.0,-0.4375,inf,-0.6666666666666667,inf,2.398493179152475,inf,-0.657292523364486,inf,6.008333333333333,640542.188,54741.0,54367.0,,,,,1447294.2,211094805.6884827,17731.609045651632,1.4776340871376363,311920880.5029978,100826074.81451511,11896.134359101623,107004.12830744832,220736542.35105133,0.32324246665348233,Leakage,66.16212333267411,False,0.6767575333465177
13695.0,103735.0,463300.0,8581.0,17.0,60601,2016,60601,0.1503569928601427,0.0144835409861716,0.0653023683605427,0.0645081255427366,16.0,0.0,6.0,4.0,5784000.0,0.0,3194000.0,2335000.0,0.0,0.375,0.25,0.0,0.5522130013831259,0.4036998616874135,5.0,10.0,0.0,1.0,0.7777777777777777,-1.0,5.0,3.0,0.198926935518708,-1.0,7.710188520767828,9.377777777777778,5.866666666666667,654041.831,55262.0,55036.0,-0.0235783633841885,0.0210753378199033,0.0095175462633125,0.0123052587047289,1735200.0,246351487.66094685,17988.425532015102,1.4990354610012586,369289615.87417334,122938128.2132265,13684.801347996365,108553.92698547883,257603570.16819763,0.3329043735015683,Leakage,66.64521867507843,False,0.6670956264984317
13887.0,110215.0,502600.0,9124.0,17.0,60601,2017,60601,0.0140197152245344,0.0624668626789415,0.0848262464925533,0.0632793380724856,16.0,2.0,5.0,1.0,5698772.0,550000.0,3777772.0,500000.0,0.125,0.3125,0.0625,0.0965120204844131,0.662909833908077,0.0877382004403755,4.0,9.0,0.0,3.0,0.0,inf,-0.1666666666666666,-0.75,-0.0147351313969571,inf,0.1827714464621164,-0.7858672376873661,4.916666666666667,674568.186,57233.0,56973.0,-0.1619318181818182,0.0313838565472428,0.0356664615830046,0.0351951449960026,1709631.5999999999,265409816.5710067,19112.106039533857,1.5926755032944881,422711713.1865258,157301896.61551914,13876.6583657996,115334.95023574059,277532386.5731065,0.3721257105220268,Leakage,68.60628552610135,False,0.6278742894779732
14675.0,103243.0,499900.0,9828.0,17.0,60601,2018,60601,0.0567437171455318,-0.0632581771991108,-0.0053720652606445,0.0771591407277509,11.0,5.0,1.0,1.0,6079200.0,4740000.0,800000.0,100000.0,0.4545454545454545,0.0909090909090909,0.0909090909090909,0.7797078562968812,0.1315962626661402,0.0164495328332675,1.0,9.0,0.0,1.0,-0.3125,1.5,-0.8,0.0,0.0667561362342623,7.618181818181819,-0.7882349702417192,-0.8,4.133333333333334,707911.107,61322.0,60423.0,-0.159322033898305,0.0494285406457042,0.0714447958345709,0.0605549997367174,1823760.0,262728125.29461545,17903.109049036826,1.4919257540864024,391970856.44987595,129242731.1552605,14664.07154303371,108039.07151647747,274728209.2837935,0.3297253584764603,Leakage,66.48626792382302,False,0.6702746415235397
15083.0,103112.0,519400.0,10017.0,17.0,60601,2019,60601,0.0278023850085178,-0.0012688511569791,0.0390078015603121,0.0192307692307691,10.0,1.0,4.0,1.0,6226991.0,124289.0,3256989.0,500000.0,0.1,0.4,0.1,0.0199597205134871,0.5230437943462581,0.0802956034463515,0.0,7.0,0.0,3.0,-0.0909090909090909,-0.8,3.0,0.0,0.0243109290696144,-0.9737786919831224,3.07123625,4.0,3.866666666666666,728631.746,63007.0,62232.0,-0.0645161290322582,0.0292701142772153,0.0274779035256513,0.029938930539695,1868097.3,269689962.6175743,17880.392668406435,1.4900327223672027,401846869.19417334,132156906.57659906,15071.767705865583,107901.98601558484,282008027.913477,0.32887379922012167,Leakage,66.44368996100609,False,0.6711262007798783
14513.0,109625.0,540600.0,9232.0,,60601,2020,60601,-0.0377908904064178,0.0631643261696019,0.0408163265306122,-0.078366776479984,7.0,1.0,1.0,2.0,942260.0,125000.0,363190.0,578190.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1326597754335321,0.3854456307176363,0.6136204444633117,0.0,4.0,0.0,3.0,-0.3,0.0,-0.75,1.0,-0.8486813293932816,0.0057205384225473,-0.8884890308195699,0.1563799999999999,9.841666666666669,700007.944,67184.0,65871.0,1.545258620689656,-0.0392843190776922,0.066294221277001,0.0584747396837639,282678.0,275889163.87593454,19009.795622954218,1.5841496352461848,437049718.32243663,161160554.4465021,14502.19218426223,114717.54225462108,288490377.14346284,0.36874650111913515,Leakage,68.43732505595675,False,0.6312534988808648
14804.0,123115.0,519700.0,10309.0,,60601,2021,60601,0.0200509887686901,0.1230558722919041,-0.038660747317795,0.1166594454072791,25.0,0.0,8.0,4.0,14802852.0,0.0,4200930.0,6168540.0,0.0,0.32,0.16,0.0,0.2837919341489059,0.4167129415331586,0.0,20.0,0.0,5.0,2.571428571428572,-1.0,7.0,1.0,14.709944176766497,-1.0,10.566755692612682,9.668707518289835,6.241666666666667,770533.358,72316.0,71206.0,-0.3657917019475022,0.1007494480662636,0.0763872350559657,0.0809916351657027,4440855.6,316051522.81075126,21349.062605427673,1.779088550452306,562283645.5856234,246232122.77487212,14792.975476870259,128834.20948394685,330487148.286264,0.43791443110250733,Leakage,71.89572155512536,False,0.5620855688974926
16398.0,121294.0,556900.0,11234.0,,60601,2022,60601,0.1076736017292623,-0.0147910490192096,0.0715797575524341,0.0897274226404112,31.0,0.0,24.0,6.0,31772816.0,0.0,17073816.0,15620000.0,0.0,0.7741935483870968,0.1935483870967742,0.0,0.5373718212449283,0.4916152222705094,0.0,29.0,0.0,2.0,0.24,0.0,2.0,0.5,1.1463982751431954,0.0,3.06429433482586,1.5322037305423972,4.616666666666666,845186.849,73674.0,73317.0,-0.2603471295060081,0.0968854757875388,0.0187786935118092,0.0296463781142037,9531844.799999999,344903849.63708466,21033.287573916616,1.7527739644930513,604538487.8973081,259634638.26022345,16385.788426757532,126928.61637611866,360657302.5998943,0.42947577938880066,Leakage,71.47378896944004,False,0.5705242206111993
16292.0,127323.0,495400.0,11174.0,,60601,2023,60601,-0.0064642029515794,0.0497056738173364,-0.1104327527383731,-0.0053409293217019,26.0,1.0,11.0,4.0,19608865.0,5500.0,10967000.0,2605000.0,0.0384615384615384,0.4230769230769231,0.1538461538461538,0.0002804853825042,0.5592878527135559,0.1328480766224868,0.0,19.0,0.0,7.0,-0.1612903225806451,inf,-0.5416666666666667,-0.3333333333333333,-0.382841451635889,inf,-0.3576714192070478,-0.8332266325224071,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,5882659.5,359707179.18711984,22078.76130537195,1.8398967754476625,661824079.0917562,302116899.9046364,16279.867364845328,133237.68877979583,376136772.92366916,0.45649124812630226,Leakage,72.82456240631512,False,0.5435087518736977
1294.0,57368.0,339100.0,915.0,17.0,60602,2015,60602,,,,,60.0,3.0,2.0,0.0,8795425.0,5002.0,360000.0,0.0,0.05,0.0333333333333333,0.0,0.0005687047527549,0.0409303700503386,0.0,8.0,4.0,0.0,48.0,0.4285714285714286,2.0,-0.3333333333333333,0.0,0.2335007092111054,-0.6793589743589743,3.5859872611464967,0.0,6.008333333333333,640542.188,54741.0,54367.0,,,,,2638627.5,12872764.589784656,9948.04064125553,0.8290033867712943,10671565.44204107,-2201199.1477435865,1293.0363595697186,60032.98484892225,13460726.978954488,-0.20626768956238345,Equilibrium,39.68661552188083,False,1.2062676895623834
