zip_code,total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,retail_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,retail_construction_cost,residential_permit_ratio,commercial_permit_ratio,retail_permit_ratio,residential_cost_ratio,commercial_cost_ratio,retail_cost_ratio,new_construction_permits,renovation_permits,addition_permits,other_permits,total_permits_change,residential_permits_change,commercial_permits_change,retail_permits_change,total_construction_cost_change,residential_construction_cost_change,commercial_construction_cost_change,retail_construction_cost_change,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,housing_density,retail_density,balance_score
60601,16292.0,127323.0,495400.0,11174.0,17.0,60601,2023,-0.0064642029515794,0.0497056738173364,-0.1104327527383731,-0.0053409293217019,26.0,1.0,11.0,4.0,19608865.0,5500.0,10967000.0,2605000.0,0.0384615384615384,0.4230769230769231,0.1538461538461538,0.0002804853825042,0.5592878527135559,0.1328480766224868,0.0,19.0,0.0,7.0,-0.1612903225806451,inf,-0.5416666666666667,-0.3333333333333333,-0.382841451635889,inf,-0.3576714192070478,-0.8332266325224071,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.061379818315737786,0.6751780014731156,-52.87356321839081
60602,1127.0,123047.0,383300.0,848.0,17.0,60602,2023,0.2014925373134328,-0.2659038164386667,-1.000574950000575,0.1910112359550562,81.0,13.0,5.0,5.0,90403041.0,16696500.0,34238712.0,4781312.0,0.1604938271604938,0.0617283950617283,0.0617283950617283,0.1846895836169935,0.3787340737796641,0.0528888403212011,15.0,37.0,0.0,29.0,0.7608695652173914,0.8571428571428572,0.0,1.5,1.702632260325763,1.2911463622142327,3.066355344418052,-0.2368217079010375,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,11.535048802129548,4.436557231588288,-101.53256704980842
60603,1126.0,128107.0,608100.0,772.0,17.0,60603,2023,0.0144144144144144,0.0257750944846582,-0.1972277227722771,0.0320855614973261,8.0,1.0,4.0,0.0,1572924.0,25000.0,1186375.0,0.0,0.125,0.5,0.0,0.0158939656334317,0.7542481391345036,0.0,0.0,7.0,0.0,1.0,0.6000000000000001,0.0,3.0,-1.0,-0.7580116923076923,-0.95,-0.0113541666666666,-1.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.8880994671403197,3.552397868561279,-96.55172413793105
60604,653.0,77806.0,577700.0,440.0,17.0,60604,2023,-0.1139755766621438,0.0148564571458384,-0.0392482953600532,-0.0983606557377049,5.0,1.0,0.0,0.0,855002.0,500000.0,0.0,0.0,0.2,0.0,0.0,0.584793953698354,0.0,0.0,1.0,1.0,0.0,3.0,-0.2857142857142857,-0.8,0.0,0.0,0.425000958331736,-0.1525423728813559,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,1.5313935681470139,0.0,-233.52490421455937
60605,34256.0,118403.0,495900.0,23504.0,17.0,60605,2023,-0.0016902721921081,0.0166663804502755,0.033125,0.0124924614456793,57.0,8.0,11.0,25.0,26972709.0,3607230.0,9786752.0,16575198.0,0.1403508771929824,0.1929824561403508,0.4385964912280701,0.1337362887798923,0.3628390459408434,0.6145173627165147,7.0,44.0,0.0,6.0,0.7272727272727273,1.6666666666666663,0.0,1.272727272727273,0.2226596872517643,3.5090375,0.2380730455041009,1.4445391932748324,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.2335357309668379,0.32111163007940213,-104.59770114942528
60606,3527.0,139148.0,366500.0,3244.0,17.0,60606,2023,0.0039851978366067,0.0436126090315225,0.0385378294134315,0.018524332810047,57.0,4.0,10.0,9.0,58532493.0,6719390.0,11661315.0,9121315.0,0.0701754385964912,0.175438596491228,0.1578947368421052,0.1147976048107159,0.199228059532677,0.1558333590882589,4.0,22.0,0.0,31.0,-0.123076923076923,0.3333333333333332,-0.0909090909090909,0.0,-0.6824781560731161,-0.9589755772322968,-0.9301125940140312,-0.1922070733683739,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,1.1341083073433513,2.835270768358378,-101.14942528735634
60607,30197.0,126307.0,494300.0,21156.0,17.0,60607,2023,0.0486161752960376,0.0569623430962342,0.0149897330595483,0.0973598215675086,45.0,4.0,6.0,19.0,40304378.0,1076698.0,3103755.0,20299372.0,0.0888888888888888,0.1333333333333333,0.4222222222222222,0.0267141698601576,0.0770078873317434,0.5036517869100969,0.0,39.0,0.0,6.0,0.0227272727272727,0.3333333333333332,0.1999999999999999,2.1666666666666665,0.2363885265423322,1.5635666666666663,-0.227152639442231,9.61982568298578,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.1324634897506375,0.19869523462595623,-97.70114942528735
60608,81459.0,70704.0,341500.0,42715.0,17.0,60608,2023,-0.0155893122575498,0.0581104742521063,0.0618781094527363,0.016056137012369,19.0,6.0,0.0,1.0,3738500.0,540000.0,0.0,40000.0,0.3157894736842105,0.0,0.0526315789473684,0.1444429584057777,0.0,0.0106994784004279,0.0,17.0,0.0,2.0,-0.1739130434782608,1.0,-1.0,-0.75,-0.0908830046553793,-0.3842645381984036,-1.0,-0.9481865284974094,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0736566861856885,0.0,-188.69731800766283
60609,64268.0,54142.0,251600.0,32510.0,17.0,60609,2023,0.0162394649040971,0.1468575907136351,0.0996503496503495,0.0241950727742423,16.0,2.0,0.0,2.0,1273001.0,520000.0,0.0,101000.0,0.125,0.0,0.125,0.4084835754253139,0.0,0.0793400790729936,0.0,11.0,0.0,5.0,0.3333333333333332,-0.3333333333333333,-1.0,inf,-0.5335283986808355,-0.3157894736842105,-1.0,inf,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.03111968631356196,0.0,-143.10344827586206
60610,45282.0,105649.0,543000.0,31747.0,17.0,60610,2023,0.0554260674995339,-0.0059090866321028,0.0793082886106142,0.0749305884743007,25.0,12.0,3.0,2.0,5705625.0,1643000.0,542500.0,1320000.0,0.48,0.12,0.08,0.2879614415598642,0.0950816080622193,0.2313506408149852,0.0,21.0,0.0,4.0,0.1904761904761904,0.7142857142857142,2.0,0.0,-0.2423892359618684,-0.2239823920046098,0.8083333333333333,-0.6,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.26500596263415926,0.06625149065853982,-123.75478927203065
