zip_code,total_population,median_household_income,median_home_value,labor_force,state,zip code tabulation area,year,total_population_change,median_household_income_change,median_home_value_change,labor_force_change,total_permits,residential_permits,commercial_permits,total_construction_cost,residential_construction_cost,commercial_construction_cost,is_residential,is_commercial,unemployment_rate,gdp,per_capita_income,personal_income,unemployment_rate_change,gdp_change,per_capita_income_change,personal_income_change,commercial_permit_value,retail_per_capita,retail_value_per_capita,expected_retail,leakage_score
60645,46856.0,77126.0,308200.0,23259.0,17.0,60645,2023,-0.037706399408527,0.0461167023845048,-0.0051646223369915,-0.0340946843853821,1.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1084144756.8,100.0
60647,85589.0,102851.0,557300.0,57231.0,17.0,60647,2023,-0.0011203827974557,0.0543413634033829,0.0356811001672552,0.0062593406593407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,2640874271.7,100.0
60602,1127.0,123047.0,383300.0,848.0,17.0,60602,2023,0.2014925373134328,-0.2659038164386667,-1.000574950000575,0.1910112359550562,24.0,0.0,0.0,4124000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,41602190.699999996,100.0
60649,48720.0,40142.0,199500.0,25273.0,17.0,60649,2023,-0.0283788365275312,0.0070242336059405,0.0657051282051282,-0.0336111960844295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,586715472.0,100.0
60651,63892.0,52963.0,262700.0,29853.0,17.0,60651,2023,-0.0204970181974275,0.0913005851809116,0.0873344370860926,-0.0257489719992167,37.0,0.0,0.0,22700.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1015173598.8,100.0
60652,41431.0,78559.0,235000.0,20978.0,17.0,60652,2023,-0.0187575492030409,0.0296068152031454,0.0366122629025142,-0.0274906123962728,2.0,0.0,0.0,1901.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,976433378.6999999,100.0
60653,34608.0,39565.0,347800.0,16403.0,17.0,60653,2023,0.00710045396345,0.1260530510018214,0.0157710280373832,0.0043472936566251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,410779656.0,100.0
60654,24303.0,144831.0,495900.0,19819.0,17.0,60654,2023,0.0352715654952076,0.0473824658841905,-0.0006045949214026,0.0260937095521616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,1055948337.9,100.0
60655,27794.0,114443.0,303300.0,14428.0,17.0,60655,2023,-0.0073571428571428,-0.0076393465367139,0.0205248990578734,-0.0026957904195755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,954248622.6,100.0
60656,28726.0,88000.0,344400.0,15972.0,17.0,60656,2023,-0.0155586017820424,0.0603431656063235,0.0153301886792451,-0.0322932444713722,4.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,4.391666666666667,894862.364,77937.0,77429.0,-0.0487364620938627,0.0587745952966192,0.0578630181610879,0.0560852189805911,0.0,0.0,0.0,758366400.0,100.0
