indicator,description,date,value
CHIC917URN,Chicago Unemployment Rate,1998-04-01,4.1
CHIC917URN,Chicago Unemployment Rate,1998-05-01,4.0
CHIC917URN,Chicago Unemployment Rate,1998-06-01,4.9
CHIC917URN,Chicago Unemployment Rate,1998-07-01,4.5
CHIC917URN,Chicago Unemployment Rate,1998-08-01,4.5
CHIC917URN,Chicago Unemployment Rate,1998-09-01,4.6
CHIC917URN,Chicago Unemployment Rate,1998-10-01,4.4
CHIC917URN,Chicago Unemployment Rate,1998-11-01,4.3
CHIC917URN,Chicago Unemployment Rate,1998-12-01,4.1
CHIC917URN,Chicago Unemployment Rate,1999-01-01,4.8
CHIC917URN,Chicago Unemployment Rate,1999-02-01,4.7
CHIC917URN,Chicago Unemployment Rate,1999-03-01,4.3
CHIC917URN,Chicago Unemployment Rate,1999-04-01,4.4
CHIC917URN,Chicago Unemployment Rate,1999-05-01,4.5
CHIC917URN,Chicago Unemployment Rate,1999-06-01,5.2
CHIC917URN,Chicago Unemployment Rate,1999-07-01,5.0
CHIC917URN,Chicago Unemployment Rate,1999-08-01,4.7
CHIC917URN,Chicago Unemployment Rate,1999-09-01,4.3
CHIC917URN,Chicago Unemployment Rate,1999-10-01,4.1
CHIC917URN,Chicago Unemployment Rate,1999-11-01,4.1
CHIC917URN,Chicago Unemployment Rate,1999-12-01,4.0
CHIC917URN,Chicago Unemployment Rate,2000-01-01,4.7
CHIC917URN,Chicago Unemployment Rate,2000-02-01,4.8
CHIC917URN,Chicago Unemployment Rate,2000-03-01,4.7
CHIC917URN,Chicago Unemployment Rate,2000-04-01,4.2
CHIC917URN,Chicago Unemployment Rate,2000-05-01,4.3
CHIC917URN,Chicago Unemployment Rate,2000-06-01,4.8
CHIC917URN,Chicago Unemployment Rate,2000-07-01,4.6
CHIC917URN,Chicago Unemployment Rate,2000-08-01,4.5
CHIC917URN,Chicago Unemployment Rate,2000-09-01,4.0
CHIC917URN,Chicago Unemployment Rate,2000-10-01,3.7
CHIC917URN,Chicago Unemployment Rate,2000-11-01,4.2
CHIC917URN,Chicago Unemployment Rate,2000-12-01,4.5
CHIC917URN,Chicago Unemployment Rate,2001-01-01,5.5
CHIC917URN,Chicago Unemployment Rate,2001-02-01,5.5
CHIC917URN,Chicago Unemployment Rate,2001-03-01,5.7
CHIC917URN,Chicago Unemployment Rate,2001-04-01,5.4
CHIC917URN,Chicago Unemployment Rate,2001-05-01,5.0
CHIC917URN,Chicago Unemployment Rate,2001-06-01,5.8
CHIC917URN,Chicago Unemployment Rate,2001-07-01,5.5
CHIC917URN,Chicago Unemployment Rate,2001-08-01,5.6
CHIC917URN,Chicago Unemployment Rate,2001-09-01,5.3
CHIC917URN,Chicago Unemployment Rate,2001-10-01,5.5
CHIC917URN,Chicago Unemployment Rate,2001-11-01,5.9
CHIC917URN,Chicago Unemployment Rate,2001-12-01,6.0
CHIC917URN,Chicago Unemployment Rate,2002-01-01,7.2
CHIC917URN,Chicago Unemployment Rate,2002-02-01,7.1
CHIC917URN,Chicago Unemployment Rate,2002-03-01,7.1
CHIC917URN,Chicago Unemployment Rate,2002-04-01,7.1
CHIC917URN,Chicago Unemployment Rate,2002-05-01,6.7
CHIC917URN,Chicago Unemployment Rate,2002-06-01,7.4
CHIC917URN,Chicago Unemployment Rate,2002-07-01,7.3
