zoning_classification,zone_category,total_parcels,avg_lot_size,total_area,zip_code
PD 1255,5,1,709399.505082,709399.505082,60601
PD 695,5,1,125948.391559,125948.391559,60601
PD 1146,5,1,94402.6528222,94402.6528222,60601
PD 1422,5,1,46111.0281639,46111.0281639,60601
PD 1309,5,1,602557.018107,602557.018107,60601
PD 1516,5,1,328123.37115,328123.37115,60601
PD 1205,5,1,74963.0706783,74963.0706783,60601
PD 503,5,1,96099.3528079,96099.3528079,60601
PD 574,5,1,86356.3049221,86356.3049221,60601
PD 1566,5,1,387873.457179,387873.457179,60601
PD 251,5,1,743976.222228,743976.222228,60601
PD 774,5,1,281139.20894,281139.20894,60601
PD 421,5,1,379308.070495,379308.070495,60601
PD 325,5,1,326517.066538,326517.066538,60601
PD 601,5,1,216412.327583,216412.327583,60601
PD 691,5,1,337767.272388,337767.272388,60601
PD 1529,5,1,106664.843965,106664.843965,60601
PD 351,5,1,443993.265328,443993.265328,60601
PD 1580,5,1,99405.0902369,99405.0902369,60601
PD 1575,5,1,143191.661737,143191.661737,60601
PD 320,5,1,168702.059416,168702.059416,60601
PMD 14,6,1,2321824.77892,2321824.77892,60601
PD 827,5,1,317483.486561,317483.486561,60601
PD 353,5,1,482261.63378,482261.63378,60601
PD 137,5,1,265522.833591,265522.833591,60601
PD 1429,5,1,116787.406435,116787.406435,60601
PD 1327,5,1,52903.1948594,52903.1948594,60601
PD 1036,5,1,28193.36099,28193.36099,60601
PD 1234,5,1,42305.1350524,42305.1350524,60601
PD 871,5,1,87047.3745396,87047.3745396,60601
PD 160,5,1,298764.860686,298764.860686,60601
PD 1343,5,1,549760.035175,549760.035175,60601
PMD 12,6,1,6474251.41737,6474251.41737,60601
PD 735,5,1,50765.7193463,50765.7193463,60601
PD 504,5,1,252100.291622,252100.291622,60601
PD 1259,5,1,55838.7464327,55838.7464327,60601
DS-3,10,14,156175.87932608073,2186462.31056513,60601
PD 254,5,1,109303.464443,109303.464443,60601
PD 464,5,1,3609143.72054,3609143.72054,60601
PD 413,5,1,148882.289822,148882.289822,60601
PD 156,5,1,96221.8882902,96221.8882902,60601
PD 1548,5,1,88240.3639688,88240.3639688,60601
PD 1206,5,1,153387.523555,153387.523555,60601
PD 1272,5,1,58121.8484117,58121.8484117,60601
PD 248,5,1,815396.397357,815396.397357,60601
PD 911,5,1,293625.31309,293625.31309,60601
PD 868,5,1,402073.430068,402073.430068,60601
PD 1305,5,1,98304.5804703,98304.5804703,60601
PD 974,5,1,60853.3925065,60853.3925065,60601
PD 465,5,1,438255.548176,438255.548176,60601
PD 12,5,1,431106.162491,431106.162491,60601
PD 1030,5,1,28053.3097903,28053.3097903,60601
PD 1342,5,1,96512.9874282,96512.9874282,60601
RS-2,4,287,4201092.533700401,1205713557.172015,60601
PD 252,5,1,63321.8189572,63321.8189572,60601
PD 393,5,1,113228.179236,113228.179236,60601
PD 1591,5,1,1210470.12512,1210470.12512,60601
PD 895,5,1,94502.1441943,94502.1441943,60601
DS-5,10,23,518987.08843214344,11936703.0339393,60601
PD 1564,5,1,635040.600994,635040.600994,60601
PD 1183,5,1,186781.640765,186781.640765,60601
PD 1438,5,1,1148134.08584,1148134.08584,60601
PD 776,5,1,1538496.531,1538496.531,60601
PD 836,5,1,161301.622298,161301.622298,60601
PD 214,5,1,343890.690848,343890.690848,60601
DC-16,5,1,95170.6393542,95170.6393542,60601
PD 723,5,1,845168.181901,845168.181901,60601
PD 548,5,1,119720.609518,119720.609518,60601
PD 913,5,1,34784.0720719,34784.0720719,60601
PD 1202,5,1,108843.8624,108843.8624,60601
PD 969,5,1,64713.9951052,64713.9951052,60601
PD 1312,5,1,102669.551423,102669.551423,60601
PD 82,5,1,881564.383576,881564.383576,60601
PD 1084,5,1,195795.603574,195795.603574,60601
B1-1,4,2,7762.514840305,15525.02968061,60601
PD 832,5,1,227399.38381,227399.38381,60601
PD 1318,5,1,73051.2009533,73051.2009533,60601
PD 910,5,1,492673.653464,492673.653464,60601
PD 1443,5,1,636523.695066,636523.695066,60601
PD 1062,5,1,92713.080888,92713.080888,60601
PD 890,5,1,137980.745699,137980.745699,60601
PD 1557,5,1,55539.1429898,55539.1429898,60601
PD 1244,5,1,332458.482173,332458.482173,60601
PD 110,5,1,85331.8829121,85331.8829121,60601
PD 989,5,1,647826.69736,647826.69736,60601
PD 801,5,1,191673.605056,191673.605056,60601
PD 680,5,1,134961.786196,134961.786196,60601
PD 777,5,1,998423.736622,998423.736622,60601
PD 1479,5,1,2615066.6767,2615066.6767,60601
PD 937,5,1,229262.503643,229262.503643,60601
PD 1053,5,1,146408.917957,146408.917957,60601
PD 1248,5,1,21362.2582247,21362.2582247,60601
PD 490,5,1,145204.607278,145204.607278,60601
PD 769,5,1,706787.676058,706787.676058,60601
PD 760,5,1,13323.6890285,13323.6890285,60601
PD 238,5,1,155969.744905,155969.744905,60601
PD 608,5,1,103971.270004,103971.270004,60601
PD 1569,5,1,146703.242262,146703.242262,60601
PD 42,5,1,1317493.68114,1317493.68114,60601
PD 1304,5,1,210773.524652,210773.524652,60601
PD 204,5,1,50775.8992655,50775.8992655,60601
PD 1297,5,1,72523.3659651,72523.3659651,60601
PD 1221,5,1,26054.6395609,26054.6395609,60601
PD 1001,5,1,72075.8182149,72075.8182149,60601
B2-5,4,1,12642.3875582,12642.3875582,60601
PD 1433,5,1,24598.3236609,24598.3236609,60601
PD 864,5,1,934426.937671,934426.937671,60601
PD 414,5,1,204856.74451,204856.74451,60601
PD 598,5,1,99164.3399493,99164.3399493,60601
PD 382,5,1,198623.192321,198623.192321,60601
PD 133,5,1,18848.4647639,18848.4647639,60601
PD 518,5,1,921993.859768,921993.859768,60601
PD 507,5,1,780160.708731,780160.708731,60601
PD 122,5,1,593154.067538,593154.067538,60601
PD 1401,5,1,146464.904732,146464.904732,60601
B3-5,1,173,84803.99357055548,14671090.8877061,60601
PD 223,5,1,140733.013361,140733.013361,60601
B2-1.5,1,17,16223.430606610587,275798.32031238,60601
B1-1,1,542,112097.53262435472,60756862.68240026,60601
PD 728,5,1,824867.525608,824867.525608,60601
PD 1280,5,1,1760479.73032,1760479.73032,60601
PD 179,5,1,87745.899438,87745.899438,60601
PD 387,5,1,33165.0553315,33165.0553315,60601
PD 692,5,1,311102.345391,311102.345391,60601
PD 1025,5,1,91834.7274585,91834.7274585,60601
PD 255,5,1,441021.011388,441021.011388,60601
PD 798,5,1,109081.131801,109081.131801,60601
PD 79,5,1,420471.054148,420471.054148,60601
PD 29,5,1,448517.705703,448517.705703,60601
PD 340,5,1,735578.806533,735578.806533,60601
DS-3,1,1,2424625.14753,2424625.14753,60601
PD 943,5,1,289295.217789,289295.217789,60601
PD 17,5,1,325302.409241,325302.409241,60601
PD 898,5,1,37976.4177812,37976.4177812,60601
PD 1475,5,1,18368.0563229,18368.0563229,60601
PD 569,5,1,680655.764337,680655.764337,60601
PD 1595,5,1,356300.961026,356300.961026,60601
PD 700,5,1,235175.991728,235175.991728,60601
PD 678,5,1,617850.058756,617850.058756,60601
PD 154,5,1,264975.008471,264975.008471,60601
PD 342,5,1,141722.73328,141722.73328,60601
PD 1090,5,1,400879.038533,400879.038533,60601
PD 1390,5,1,874130.971759,874130.971759,60601
PD 1329,5,1,33071.9037376,33071.9037376,60601
PD 1586,5,1,60736.2342478,60736.2342478,60601
PD 934,5,1,24858.8010054,24858.8010054,60601
PD 699,5,1,894047.240012,894047.240012,60601
PD 378,5,1,121994.333022,121994.333022,60601
PD 1507,5,1,55117.0514468,55117.0514468,60601
PD 533,5,1,45826.3990525,45826.3990525,60601
PD 492,5,1,111370.858656,111370.858656,60601
PD 1322,5,1,34863.0089451,34863.0089451,60601
PD 1283,5,1,78798.7656559,78798.7656559,60601
PD 896,5,1,6956210.27152,6956210.27152,60601
PD 150,5,1,289422.180132,289422.180132,60601
PD 3,5,1,1450857.09731,1450857.09731,60601
PD 85,5,1,1132716.61188,1132716.61188,60601
PD 1110,5,1,243644.346817,243644.346817,60601
PD 355,5,1,431731.828797,431731.828797,60601
PD 984,5,1,266422.888722,266422.888722,60601
PD 863,5,1,71824.0288433,71824.0288433,60601
PD 288,5,1,120749.440747,120749.440747,60601
PMD 15,6,1,7558319.84851,7558319.84851,60601
PD 1029,5,1,111823.414524,111823.414524,60601
PD 1143,5,1,451855.244753,451855.244753,60601
PD 885,5,1,40951.2115954,40951.2115954,60601
PD 1553,5,1,110874.554507,110874.554507,60601
PD 1153,5,1,174210.926558,174210.926558,60601
PD 1247,5,1,59542.3567123,59542.3567123,60601
PD 1278,5,1,75813.1174817,75813.1174817,60601
POS-2,12,380,71236.72136845574,27069954.12001318,60601
PD 283,5,1,292639.273312,292639.273312,60601
PD 1148,5,1,77979.7415521,77979.7415521,60601
PD 817,5,1,795101.547789,795101.547789,60601
PD 966,5,1,2251528.021,2251528.021,60601
B3-1,1,848,137134.124772873,116289737.8073963,60601
PD 756,5,1,149775.510593,149775.510593,60601
PD 61,5,1,448232.73879,448232.73879,60601
PD 826,5,1,368834.999743,368834.999743,60601
PD 766,5,1,307488.148392,307488.148392,60601
PD 1363,5,1,175735.254633,175735.254633,60601
PD 1113,5,1,506417.220774,506417.220774,60601
PD 594,5,1,77726.3482146,77726.3482146,60601
PD 995,5,1,494385.59561,494385.59561,60601
PD 1060,5,1,83418.5705421,83418.5705421,60601
PD 1196,5,1,444465.262022,444465.262022,60601
PD 1584,5,1,18627.1058146,18627.1058146,60601
PD 1582,5,1,73873.6793232,73873.6793232,60601
PD 811,5,1,1252075.89202,1252075.89202,60601
PD 1134,5,1,260546.570948,260546.570948,60601
PD 944,5,1,145955.224318,145955.224318,60601
PD 1233,5,1,64422.1542346,64422.1542346,60601
PD 738,5,1,33712.7966027,33712.7966027,60601
PD 720,5,1,218221.268654,218221.268654,60601
PD 1258,5,1,16894.1857776,16894.1857776,60601
PD 1568,5,1,41530.6767124,41530.6767124,60601
PD 45,5,1,843796.992944,843796.992944,60601
PD 161,5,1,141992.986415,141992.986415,60601
PD 794,5,1,668088.204004,668088.204004,60601
PD 1298,5,1,314231.719515,314231.719515,60601
PD 482,5,1,49544.2123922,49544.2123922,60601
PMD 3,6,1,5042862.82777,5042862.82777,60601
PD 441,5,1,1284754.20957,1284754.20957,60601
PD 1249,5,1,678229.867811,678229.867811,60601
PD 1219,5,1,50009.1981886,50009.1981886,60601
PD 665,5,1,112700.645744,112700.645744,60601
PD 793,5,1,68102.4210732,68102.4210732,60601
M1-3,3,33,378097.9938649024,12477233.79754178,60601
PD 1190,5,1,207862.158595,207862.158595,60601
PD 357,5,1,768818.397326,768818.397326,60601
PD 14,5,1,987386.853542,987386.853542,60601
PD 1384,5,1,59506.4247246,59506.4247246,60601
PD 637,5,1,471248.35107,471248.35107,60601
PD 1473,5,1,201731.478893,201731.478893,60601
PD 1059,5,1,221203.073118,221203.073118,60601
PD 894,5,1,743052.437449,743052.437449,60601
PD 810,5,1,31980.6563867,31980.6563867,60601
PD 361,5,1,163363.91962,163363.91962,60601
PD 510,5,1,172527.158462,172527.158462,60601
PD 775,5,1,36359.1628928,36359.1628928,60601
PD 1207,5,1,54595.1796309,54595.1796309,60601
PD 521,5,1,11291.0845559,11291.0845559,60601
PD 1508,5,1,163212.084953,163212.084953,60601
PD 406,5,1,64130.1060639,64130.1060639,60601
DX-16,7,12,593117.2596751,7117407.1161012,60601
PD 118,5,1,102038.722385,102038.722385,60601
PD 550,5,1,34405.0249976,34405.0249976,60601
PD 1117,5,1,35933.1757108,35933.1757108,60601
PD 246,5,1,169601.497836,169601.497836,60601
PD 1269,5,1,36118.2367919,36118.2367919,60601
PD 93,5,1,98402.6183885,98402.6183885,60601
PD 696,5,1,143091.484102,143091.484102,60601
PD 410,5,1,480461.621978,480461.621978,60601
PD 1191,5,1,18907.5136516,18907.5136516,60601
PD 1124,5,1,38118.7132078,38118.7132078,60601
PD 784,5,1,170800.67437,170800.67437,60601
PD 829,5,1,124994.222699,124994.222699,60601
PD 431,5,1,85656.7296772,85656.7296772,60601
PD 205,5,1,79301.9618743,79301.9618743,60601
PD 138,5,1,197993.927936,197993.927936,60601
PD 672,5,1,225453.557785,225453.557785,60601
PD 763,5,1,246477.978927,246477.978927,60601
PD 621,5,1,325312.633585,325312.633585,60601
PD 95,5,1,312080.367265,312080.367265,60601
PD 938,5,1,85952.3715158,85952.3715158,60601
PD 1497,5,1,11296.2258248,11296.2258248,60601
PD 30,5,1,21334363.2033,21334363.2033,60601
PD 183,5,1,207528.641838,207528.641838,60601
PD 346,5,1,161577.750172,161577.750172,60601
PD 1047,5,1,81056.3611781,81056.3611781,60601
PD 641,5,1,867241.155095,867241.155095,60601
PD 66,5,1,503925.167498,503925.167498,60601
PD 345,5,1,356822.911915,356822.911915,60601
PD 449,5,1,1012780.35795,1012780.35795,60601
PD 409,5,1,148031.89139,148031.89139,60601
PD 1581,5,1,34431.8807274,34431.8807274,60601
PD 1225,5,1,55397.0696695,55397.0696695,60601
PD 52,5,1,228817.792783,228817.792783,60601
PD 1572,5,1,673970.557345,673970.557345,60601
PD 749,5,1,91016.9910121,91016.9910121,60601
PD 72,5,1,1555085.64673,1555085.64673,60601
PD 933,5,1,267607.652868,267607.652868,60601
PD 1043,5,1,124152.688626,124152.688626,60601
PD 818,5,1,53025.6641078,53025.6641078,60601
PD 971,5,1,677834.963463,677834.963463,60601
PD 386,5,1,45965.1051318,45965.1051318,60601
PD 1466,5,1,194670.303841,194670.303841,60601
PD 1556,5,1,89960.4278136,89960.4278136,60601
PD 1552,5,1,129473.843626,129473.843626,60601
PD 1485,5,1,1032574.7519,1032574.7519,60601
PD 1335,5,1,40086.8134832,40086.8134832,60601
PD 395,5,1,72656.5383178,72656.5383178,60601
C3-3,2,24,103388.24100693635,2481317.784166473,60601
PD 1094,5,1,121716.60974,121716.60974,60601
PD 1398,5,1,91198.6467513,91198.6467513,60601
PD 9,5,1,502802.151093,502802.151093,60601
PD 1035,5,1,77152.026157,77152.026157,60601
PD 396,5,1,337970.324715,337970.324715,60601
PD 847,5,1,580425.506642,580425.506642,60601
PD 11,5,1,1596943.3618,1596943.3618,60601
PD 996,5,1,95794.6278495,95794.6278495,60601
PD 1565,5,1,32804.691889,32804.691889,60601
PD 1446,5,1,42641.0404086,42641.0404086,60601
PD 543,5,1,22248.5025689,22248.5025689,60601
PD 1198,5,1,552433.15964,552433.15964,60601
PD 294,5,1,803694.593852,803694.593852,60601
PD 1430,5,1,363428.000076,363428.000076,60601
PD 959,5,1,73135.5761381,73135.5761381,60601
M2-2,3,112,600658.3475587579,67273734.92658088,60601
PD 1307,5,1,27345.9240171,27345.9240171,60601
PD 1461,5,1,5379.37873332,5379.37873332,60601
PD 1474,5,1,51826.1165843,51826.1165843,60601
PD 1528,5,1,88343.5715969,88343.5715969,60601
PD 1319,5,1,46701.5004232,46701.5004232,60601
PD 1173,5,1,539220.971853,539220.971853,60601
PD 1142,5,1,66358.4465612,66358.4465612,60601
PD 951,5,1,462998.906553,462998.906553,60601
PD 369,5,1,27014.9876269,27014.9876269,60601
PD 1403,5,1,169383.33707,169383.33707,60601
PD 1195,5,1,76211.7711791,76211.7711791,60601
PD 545,5,1,910163.904098,910163.904098,60601
PD 245,5,1,92009.8081586,92009.8081586,60601
C1-2,4,1,4142.6135487,4142.6135487,60601
PD 191,5,1,73955.1277484,73955.1277484,60601
PD 228,5,1,108883.519888,108883.519888,60601
PD 642,5,1,161888.065219,161888.065219,60601
PD 1406,5,1,28014.6971795,28014.6971795,60601
PD 74,5,1,1693691.15914,1693691.15914,60601
PD 1150,5,1,467059.878195,467059.878195,60601
PD 721,5,1,198304.939594,198304.939594,60601
PD 313,5,1,72814.5533154,72814.5533154,60601
PD 1527,5,1,1867506.94283,1867506.94283,60601
PD 686,5,1,132769.493499,132769.493499,60601
PD 514,5,1,407854.262161,407854.262161,60601
PD 697,5,1,269276.218509,269276.218509,60601
PD 344,5,1,40073.4648041,40073.4648041,60601
PD 1032,5,1,84622.7782421,84622.7782421,60601
PD 265,5,1,154314.659937,154314.659937,60601
PD 1273,5,1,248814.499073,248814.499073,60601
PD 1162,5,1,3340142.66005,3340142.66005,60601
PD 113,5,1,88659.0096832,88659.0096832,60601
PD 849,5,1,315548.880371,315548.880371,60601
PD 1212,5,1,1360417.30284,1360417.30284,60601
PD 153,5,1,267182.401494,267182.401494,60601
PD 583,5,1,463896.367797,463896.367797,60601
PD 287,5,1,81351.5533497,81351.5533497,60601
PD 920,5,1,219439.666475,219439.666475,60601
PD 1464,5,1,136916.591106,136916.591106,60601
PD 650,5,1,149273.358279,149273.358279,60601
PD 907,5,1,448608.194036,448608.194036,60601
PD 652,5,1,9305.42112402,9305.42112402,60601
PD 1235,5,1,31984.2997245,31984.2997245,60601
PD 445,5,1,44973.1848892,44973.1848892,60601
PD 1339,5,1,73830.9654522,73830.9654522,60601
PD 397,5,1,53473.1586191,53473.1586191,60601
PD 571,5,1,112314.315577,112314.315577,60601
PD 509,5,1,37525.3272882,37525.3272882,60601
PD 250,5,1,74462.5272747,74462.5272747,60601
POS-1,12,175,2540333.121032071,444558296.1806124,60601
PD 207,5,1,614509.527734,614509.527734,60601
PD 1545,5,1,185259.652119,185259.652119,60601
PD 1483,5,1,1082456.30414,1082456.30414,60601
PD 687,5,1,201142.66339,201142.66339,60601
PD 873,5,1,730747.709736,730747.709736,60601
PD 779,5,1,193630.958328,193630.958328,60601
PD 1071,5,1,76505.4187175,76505.4187175,60601
PD 1354,5,1,92648.5453949,92648.5453949,60601
PD 360,5,1,260128.781155,260128.781155,60601
PD 884,5,1,42601.5224051,42601.5224051,60601
PD 1154,5,1,80456.6771407,80456.6771407,60601
PD 316,5,1,211300.578569,211300.578569,60601
PD 125,5,1,840315.824707,840315.824707,60601
PD 1227,5,1,287153.314356,287153.314356,60601
PD 631,5,1,102630.43561,102630.43561,60601
PD 1013,5,1,2296270.35738,2296270.35738,60601
PD 176,5,1,46140.71608,46140.71608,60601
PD 1237,5,1,16329.6796723,16329.6796723,60601
PD 239,5,1,102248.109147,102248.109147,60601
PD 1576,5,1,22442.5067185,22442.5067185,60601
PD 177,5,1,879609.753537,879609.753537,60601
PD 1490,5,1,39470.6759613,39470.6759613,60601
PD 803,5,1,111854.299977,111854.299977,60601
PD 1193,5,1,34491.8745139,34491.8745139,60601
PD 401,5,1,282820.292542,282820.292542,60601
PD 1008,5,1,1180716.4233,1180716.4233,60601
PD 231,5,1,94190.2156218,94190.2156218,60601
PD 307,5,1,816473.53366,816473.53366,60601
PD 673,5,1,55627.5919099,55627.5919099,60601
PD 1579,5,1,57575.2008036,57575.2008036,60601
PD 236,5,1,118037.036568,118037.036568,60601
PD 1040,5,1,41143.2061697,41143.2061697,60601
PD 903,5,1,1343082.37609,1343082.37609,60601
PD 823,5,1,298507.656915,298507.656915,60601
PD 1296,5,1,7770.55854499,7770.55854499,60601
PMD 11,6,2,17086930.36603,34173860.73206,60601
PD 853,5,1,184119.84572,184119.84572,60601
PD 1097,5,1,359367.32618,359367.32618,60601
PD 835,5,1,115390.131976,115390.131976,60601
RT-3.5,4,270,77053.4771523906,20804438.83114546,60601
PD 773,5,1,90053.1963942,90053.1963942,60601
PD 654,5,1,76422.1082762,76422.1082762,60601
PD 1567,5,1,477597.406424,477597.406424,60601
PD 854,5,1,434299.957085,434299.957085,60601
PD 1366,5,1,48006.232862,48006.232862,60601
PD 1311,5,1,57894.2147961,57894.2147961,60601
PD 34,5,1,2438500.51437,2438500.51437,60601
PD 1239,5,1,93040.2692715,93040.2692715,60601
PD 842,5,1,167137.339515,167137.339515,60601
PD 1257,5,1,79618.0879115,79618.0879115,60601
PD 1456,5,1,153952.066897,153952.066897,60601
PD 139,5,1,74708.1887211,74708.1887211,60601
PMD 8,6,1,58010961.4737,58010961.4737,60601
PD 273,5,1,380803.72854,380803.72854,60601
PD 293,5,1,32644.9480241,32644.9480241,60601
PD 755,5,1,62481.3507143,62481.3507143,60601
PD 78,5,1,297663.53287,297663.53287,60601
PD 538,5,1,56824.6579128,56824.6579128,60601
PD 1590,5,1,77011.3356826,77011.3356826,60601
PD 1499,5,1,1146361.55487,1146361.55487,60601
PD 582,5,1,47329.4884377,47329.4884377,60601
PD 124,5,1,447805.82166,447805.82166,60601
PD 786,5,1,281354.811232,281354.811232,60601
PD 432,5,1,92710.1711354,92710.1711354,60601
PD 1439,5,1,1859310.9766,1859310.9766,60601
PD 877,5,1,1148954.44061,1148954.44061,60601
C2-2,1,1,199340.765751,199340.765751,60601
PD 289,5,1,516545.56571,516545.56571,60601
PD 592,5,1,61205.7168312,61205.7168312,60601
PD 436,5,1,82985.0381362,82985.0381362,60601
PD 1058,5,1,155099.289389,155099.289389,60601
PD 1316,5,1,296127.751416,296127.751416,60601
PD 1086,5,1,37333.9519673,37333.9519673,60601
PMD-4,6,3,8263741.920716666,24791225.76215,60601
PD 1065,5,1,814848.013609,814848.013609,60601
PD 880,5,1,642625.813033,642625.813033,60601
PD 740,5,1,73123.7780375,73123.7780375,60601
PD 677,5,1,4267783.80395,4267783.80395,60601
PD 363,5,1,195126.090308,195126.090308,60601
C1-5,2,60,62324.463514036834,3739467.81084221,60601
PD 260,5,1,262353.008549,262353.008549,60601
PD 1072,5,1,1604524.39354,1604524.39354,60601
PD 883,5,1,185148.897524,185148.897524,60601
PD 21,5,1,739085.816868,739085.816868,60601
PD 1596,5,1,100023.750922,100023.750922,60601
PD 212,5,1,220627.962746,220627.962746,60601
PD 657,5,1,480531.291842,480531.291842,60601
PD 1274,5,1,223084.319109,223084.319109,60601
PD 87,5,1,361784.638071,361784.638071,60601
PD 964,5,1,28163.7704472,28163.7704472,60601
PD 1496,5,1,116073.083857,116073.083857,60601
DX-7,7,45,256615.9470928749,11547717.619179372,60601
PD 770,5,1,1803156.28037,1803156.28037,60601
POS-3,12,6,3136779.80358005,18820678.8214803,60601
PD 151,5,1,3668455.53485,3668455.53485,60601
PD 1513,5,1,18557.6517464,18557.6517464,60601
DS-7,10,1,20196.8736649,20196.8736649,60601
PD 567,5,1,1251330.05295,1251330.05295,60601
PD 684,5,1,104856.939147,104856.939147,60601
PD 796,5,1,618388.991071,618388.991071,60601
PD 247,5,1,281817.125674,281817.125674,60601
PD 857,5,1,46320.7742066,46320.7742066,60601
PD 1455,5,1,53560.054823,53560.054823,60601
PD 1405,5,1,48491.7214635,48491.7214635,60601
PD 965,5,1,1026827.77045,1026827.77045,60601
PD 820,5,1,40731.4119683,40731.4119683,60601
PD 407,5,1,374932.341134,374932.341134,60601
PD 734,5,1,156436.780403,156436.780403,60601
PD 612,5,1,440256.101642,440256.101642,60601
PD 1526,5,1,142262.281666,142262.281666,60601
PD 213,5,1,521821.654383,521821.654383,60601
PD 76,5,1,409848.260124,409848.260124,60601
PD 624,5,1,144950.278411,144950.278411,60601
PD 278,5,1,307829.001122,307829.001122,60601
PD 900,5,1,493110.264792,493110.264792,60601
PD 467,5,1,103450.084299,103450.084299,60601
PD 1583,5,1,113488.536903,113488.536903,60601
PD 434,5,1,29051.808237,29051.808237,60601
PD 472,5,1,9921.83149406,9921.83149406,60601
PD 281,5,1,134985.947159,134985.947159,60601
PD 1127,5,1,92215.4789819,92215.4789819,60601
M3-3,3,31,7681361.140752256,238122195.3633199,60601
PD 62,5,1,744342.50956,744342.50956,60601
PD 1544,5,1,22394.4096806,22394.4096806,60601
PD 1367,5,1,534789.972883,534789.972883,60601
PD 1345,5,2,233708.78318424764,467417.5663684953,60601
DC-12,8,8,72804.23468750625,582433.87750005,60601
PD 1188,5,1,80297.7552371,80297.7552371,60601
PD 1063,5,1,105684.040233,105684.040233,60601
PD 682,5,1,70664.7585066,70664.7585066,60601
PD 418,5,1,697542.722391,697542.722391,60601
PD 861,5,1,65615.2259535,65615.2259535,60601
PD 537,5,1,68424.6807197,68424.6807197,60601
PD 710,5,1,106985.133454,106985.133454,60601
PD 1561,5,1,34712.5610156,34712.5610156,60601
PD 1211,5,1,167199.10199,167199.10199,60601
PD 1435,5,1,110299.605233,110299.605233,60601
PD 20,5,1,173498.238649,173498.238649,60601
PD 1224,5,1,106284.705417,106284.705417,60601
PD 1253,5,1,88653.8038651,88653.8038651,60601
PD 1593,5,2,142751.6863795,285503.372759,60601
PD 694,5,1,43222.450876,43222.450876,60601
PD 1559,5,1,45876.2447351,45876.2447351,60601
PD 178,5,1,142449.208596,142449.208596,60601
PD 1174,5,1,128889.198687,128889.198687,60601
PD 456,5,1,797145.389741,797145.389741,60601
PD 163,5,1,183835.926638,183835.926638,60601
PD 1381,5,1,38435.8650832,38435.8650832,60601
PD 578,5,1,508636.050073,508636.050073,60601
PD 535,5,1,2432751.32314,2432751.32314,60601
PD 862,5,1,47414.103154,47414.103154,60601
PD 1517,5,1,92233.8130166,92233.8130166,60601
PD 372,5,1,194726.912364,194726.912364,60601
PD 404,5,1,37916.6712151,37916.6712151,60601
PD 485,5,1,987648.077667,987648.077667,60601
PD 48,5,1,125828.729929,125828.729929,60601
PD 1540,5,1,196043.320887,196043.320887,60601
PD 54,5,1,610110.68944,610110.68944,60601
PD 508,5,1,668034.953061,668034.953061,60601
PD 747,5,1,105472.382897,105472.382897,60601
PD 729,5,1,22213.2393868,22213.2393868,60601
PD 1009,5,1,44649.1318624,44649.1318624,60601
PD 141,5,1,630209.95377,630209.95377,60601
PD 1119,5,1,644098.63394,644098.63394,60601
PD 7,5,1,545557.329573,545557.329573,60601
PD 851,5,1,22732.4310102,22732.4310102,60601
PD 1410,5,1,49085.9963314,49085.9963314,60601
PD 362,5,1,16798.5063262,16798.5063262,60601
RT-4,4,1930,248336.05462371747,479288585.4237748,60601
PD 666,5,1,617717.906658,617717.906658,60601
PD 737,5,1,201573.145874,201573.145874,60601
PD 1592,5,1,43027.7103743,43027.7103743,60601
PD 1450,5,1,55669.8982887,55669.8982887,60601
PD 40,5,1,1595331.66488,1595331.66488,60601
PD 1203,5,1,175310.201326,175310.201326,60601
PD 1103,5,1,224306.793873,224306.793873,60601
PD 385,5,1,121854.364881,121854.364881,60601
PD 1157,5,1,3380115.59424,3380115.59424,60601
PD 315,5,1,96207.4461286,96207.4461286,60601
PD 454,5,1,102605.696403,102605.696403,60601
PD 336,5,1,23804.8830832,23804.8830832,60601
PD 499,5,1,3795052.32227,3795052.32227,60601
PD 1352,5,1,560437.164474,560437.164474,60601
PD 390,5,1,188587.223045,188587.223045,60601
PD 1388,5,1,71697.1227767,71697.1227767,60601
PD 1442,5,1,179555.61117,179555.61117,60601
PD 1155,5,1,523705.277397,523705.277397,60601
PD 1402,5,1,417436.827249,417436.827249,60601
PD 486,5,1,42777.3191573,42777.3191573,60601
PD 371,5,1,116884.5421,116884.5421,60601
PD 778,5,1,4901902.91143,4901902.91143,60601
PD 1321,5,1,209830.244872,209830.244872,60601
PD 347,5,1,436847.834757,436847.834757,60601
PD 10,5,1,305441.042486,305441.042486,60601
PD 986,5,1,507559.205,507559.205,60601
PD 1453,5,1,31981.4037567,31981.4037567,60601
PD 408,5,1,69469.7085293,69469.7085293,60601
PD 1445,5,1,68245.6380526,68245.6380526,60601
PMD 5,6,1,143457.144392,143457.144392,60601
PD 783,5,1,562160.388595,562160.388595,60601
B1-3,1,165,78065.5383725588,12880813.831472201,60601
PD 819,5,1,500501.611044,500501.611044,60601
PD 453,5,1,109858.756705,109858.756705,60601
PD 1573,5,1,80116.707117,80116.707117,60601
PD 1137,5,1,132495.528646,132495.528646,60601
PD 1138,5,1,73953.212861,73953.212861,60601
PD 859,5,1,448245.475653,448245.475653,60601
PD 878,5,1,258764.373239,258764.373239,60601
PD 350,5,1,147924.692162,147924.692162,60601
PD 229,5,1,93444.2524533,93444.2524533,60601
PD 457,5,1,178503.831224,178503.831224,60601
