zoning_classification,zone_category,total_parcels,avg_lot_size,total_area,zip_code
PD 719,5,1,244478.570943,244478.570943,60601
PD 1114,5,1,220869.909349,220869.909349,60601
PD 553,5,1,1299219.23892,1299219.23892,60601
M1-1,3,268,440373.4866717255,118020094.42802244,60601
PD 1007,5,1,348613.937782,348613.937782,60601
PD 1178,5,1,269707.217757,269707.217757,60601
PD 636,5,1,184432.51211,184432.51211,60601
PMD 6,6,2,73442269.561705,146884539.12341,60601
PD 1348,5,1,54068.3135375,54068.3135375,60601
PD 1271,5,1,443378.753775,443378.753775,60601
PD 689,5,1,63771.2003626,63771.2003626,60601
PD 43,5,1,14150410.8501,14150410.8501,60601
PD 529,5,1,118453.115354,118453.115354,60601
PD 426,5,1,37640.4002796,37640.4002796,60601
PD 972,5,1,1268459.67278,1268459.67278,60601
PD 1396,5,1,49529.0465003,49529.0465003,60601
PD 31,5,1,749768.915093,749768.915093,60601
PD 733,5,1,202526.634523,202526.634523,60601
PD 1417,5,1,46348.3391574,46348.3391574,60601
PD 979,5,1,790034.510813,790034.510813,60601
PD 576,5,1,274485.164457,274485.164457,60601
PD 536,5,1,492346.328688,492346.328688,60601
PD 335,5,1,19372.9596294,19372.9596294,60601
PD 724,5,1,193111.418693,193111.418693,60601
PD 0,5,1,268547253.989,268547253.989,60601
PD 83,5,1,535566.292971,535566.292971,60601
PD 299,5,1,370980.326321,370980.326321,60601
PD 167,5,1,44566.6735157,44566.6735157,60601
PD 893,5,1,114008.890444,114008.890444,60601
M2-1,3,60,563606.7401086087,33816404.40651652,60601
PD 1436,5,1,95317.0642469,95317.0642469,60601
PD 765,5,1,529705.902407,529705.902407,60601
PD 158,5,1,376255.677594,376255.677594,60601
PD 1458,5,1,80107.4011978,80107.4011978,60601
PD 1102,5,1,32718.3684714,32718.3684714,60601
PD 620,5,1,22734.2713431,22734.2713431,60601
PD 838,5,1,285186.129605,285186.129605,60601
PD 1218,5,1,64357.1187755,64357.1187755,60601
PD 1468,5,1,32925.0703158,32925.0703158,60601
PD 524,5,1,692892.559778,692892.559778,60601
PD 1542,5,1,90883.3885149,90883.3885149,60601
PD 752,5,1,405685.835797,405685.835797,60601
PD 552,5,1,456244.544799,456244.544799,60601
PD 1144,5,1,153185.287381,153185.287381,60601
PD 18,5,1,434933.28779,434933.28779,60601
PD 1383,5,1,35979.6549576,35979.6549576,60601
PD 1050,5,1,134549.4309,134549.4309,60601
PD 676,5,1,322657.631459,322657.631459,60601
PD 1440,5,1,125220.358323,125220.358323,60601
PD 860,5,1,62850.0584536,62850.0584536,60601
PD 1125,5,1,163021.163235,163021.163235,60601
PD 670,5,1,256362.388008,256362.388008,60601
PD 1306,5,1,193206.22973,193206.22973,60601
PD 562,5,1,259716.501047,259716.501047,60601
PD 334,5,1,23252.545085,23252.545085,60601
PD 81,5,1,534481.468388,534481.468388,60601
PD 319,5,1,39242.8656696,39242.8656696,60601
PD 544,5,1,152776.996131,152776.996131,60601
PD 1451,5,1,47743.8344766,47743.8344766,60601
PD 558,5,1,81429.3475522,81429.3475522,60601
PD 702,5,1,926031.970779,926031.970779,60601
PD 303,5,1,670128.153315,670128.153315,60601
PD 321,5,1,379466.056264,379466.056264,60601
PD 1478,5,1,80180.6135022,80180.6135022,60601
PD 1420,5,1,236422.659615,236422.659615,60601
PD 159,5,1,153650.775594,153650.775594,60601
PD 599,5,1,567133.187892,567133.187892,60601
PD 858,5,1,204155.399765,204155.399765,60601
PD 1525,5,1,1920004.29738,1920004.29738,60601
PD 128,5,1,127287.505807,127287.505807,60601
PD 1382,5,1,28962.0483187,28962.0483187,60601
PD 1213,5,1,61845.5213833,61845.5213833,60601
PD 328,5,1,73309.2121421,73309.2121421,60601
PD 1577,5,1,218722.462077,218722.462077,60601
PD 981,5,1,52974.1070905,52974.1070905,60601
PD 568,5,1,128999.673173,128999.673173,60601
PD 1547,5,1,27828.9895525,27828.9895525,60601
PD 828,5,1,311212.649822,311212.649822,60601
PD 483,5,1,293662.96449,293662.96449,60601
PD 1290,5,1,49374.2439127,49374.2439127,60601
PD 744,5,1,106904.798856,106904.798856,60601
PD 1523,5,1,91184.2380063,91184.2380063,60601
PD 596,5,1,54516.924793,54516.924793,60601
PD 1368,5,1,36893.1717311,36893.1717311,60601
PD 886,5,1,176304.648667,176304.648667,60601
PD 169,5,1,3092738.38608,3092738.38608,60601
PD 1431,5,1,28322.3711152,28322.3711152,60601
PD 1459,5,1,96061.2868887,96061.2868887,60601
PD 630,5,1,34011.6078219,34011.6078219,60601
PD 331,5,1,8140139.94802,8140139.94802,60601
PD 448,5,1,49030.1573228,49030.1573228,60601
PD 1460,5,1,232904.497293,232904.497293,60601
PD 618,5,1,4006296.17252,4006296.17252,60601
PD 771,5,1,232056.842204,232056.842204,60601
PD 739,5,1,126254.545353,126254.545353,60601
PD 1407,5,1,94286.5405014,94286.5405014,60601
PD 376,5,1,378940.709735,378940.709735,60601
PD 501,5,1,79247.5932283,79247.5932283,60601
PD 843,5,1,206906.509301,206906.509301,60601
PD 1126,5,1,137102.147915,137102.147915,60601
PD 1085,5,1,67145.8444353,67145.8444353,60601
PD 643,5,1,268319.858281,268319.858281,60601
PD 1066,5,1,45293.8852406,45293.8852406,60601
PD 1452,5,1,19889.1694189,19889.1694189,60601
PD 1180,5,1,33191.0870454,33191.0870454,60601
PD 80,5,1,328344.033246,328344.033246,60601
PD 892,5,1,532147.320867,532147.320867,60601
PD 1333,5,1,22975.4689829,22975.4689829,60601
PD 1375,5,1,24978.1180971,24978.1180971,60601
PD 1099,5,1,490782.79273,490782.79273,60601
C1-2,2,567,113680.2353732668,64456693.45664228,60601
PD 304,5,1,36821.9339629,36821.9339629,60601
PD 1506,5,1,12469.7559102,12469.7559102,60601
PD 661,5,1,879548.379705,879548.379705,60601
C1-2,1,3,19632.951266666667,58898.8538,60601
PD 919,5,1,105793.48266,105793.48266,60601
PD 909,5,2,951178.3868355,1902356.773671,60601
PD 280,5,1,471783.146753,471783.146753,60601
PD 1425,5,1,1253542.03271,1253542.03271,60601
PD 103,5,1,1209020.06328,1209020.06328,60601
PD 940,5,1,81177.8291937,81177.8291937,60601
B1-2,1,363,89610.17742088935,32528494.40378283,60601
PD 64,5,1,685939.933655,685939.933655,60601
PD 1549,5,1,237029.212923,237029.212923,60601
PD 564,5,1,81662.7551829,81662.7551829,60601
